,id,followers_count,friends_count,created_at,language
13726,29365544,1483,184,Tue Apr 07 03:07:56 +0000 2009,en
13755,114749081,1329,133,Tue Feb 16 13:49:53 +0000 2010,en
13818,62952071,1399,186,Tue Aug 04 22:41:59 +0000 2009,en
13819,23081351,1904,352,Fri Mar 06 16:10:54 +0000 2009,en
13924,19372353,1683,288,Fri Jan 23 00:31:46 +0000 2009,en
13953,1443911,1186,333,Sun Mar 18 21:21:46 +0000 2007,en
13968,156056293,1253,165,Tue Jun 15 22:26:07 +0000 2010,en
14042,1397144792,1298,347,Thu May 02 12:59:43 +0000 2013,en
14075,41483740,1641,148,Wed May 20 23:56:24 +0000 2009,en
14094,34939401,1059,409,Fri Apr 24 14:33:43 +0000 2009,en
14104,107589114,1682,433,Sat Jan 23 02:23:43 +0000 2010,en
14178,23408593,1736,139,Mon Mar 09 06:10:32 +0000 2009,en
14180,222144134,1818,260,Thu Dec 02 15:49:05 +0000 2010,en
14192,17388080,1108,294,Fri Nov 14 14:31:28 +0000 2008,en
14209,2225660432,1724,274,Sun Dec 01 22:15:11 +0000 2013,en
14242,254279527,1514,154,Sat Feb 19 00:17:10 +0000 2011,en
14288,575398878,1743,105,Wed May 09 12:37:32 +0000 2012,en
14305,325857039,1242,328,Wed Jun 29 00:10:08 +0000 2011,en
14333,273598262,1004,200,Mon Mar 28 20:07:52 +0000 2011,en
14339,36188083,1749,441,Tue Apr 28 21:24:13 +0000 2009,en
14410,16440518,1277,319,Wed Sep 24 20:24:03 +0000 2008,en
14463,363140780,1302,400,Sat Aug 27 16:01:18 +0000 2011,en
14506,49614068,1415,342,Mon Jun 22 12:31:39 +0000 2009,en
14572,17903266,1303,344,Fri Dec 05 18:00:35 +0000 2008,en
14586,17298298,1062,289,Mon Nov 10 23:49:56 +0000 2008,en
14641,72945644,1036,472,Wed Sep 09 20:41:54 +0000 2009,en
14650,357684818,1153,494,Thu Aug 18 19:08:08 +0000 2011,en
14653,51374505,1598,118,Sat Jun 27 07:10:04 +0000 2009,en
14699,20778179,1078,105,Fri Feb 13 15:33:32 +0000 2009,en
14704,18288876,1581,322,Sun Dec 21 17:35:41 +0000 2008,en
14731,2962274537,1494,464,Mon Jan 05 16:12:26 +0000 2015,en
14778,382079930,1230,389,Thu Sep 29 13:16:20 +0000 2011,en
14820,564166062,1996,229,Thu Apr 26 22:16:20 +0000 2012,en
14838,393481389,1122,291,Tue Oct 18 16:08:46 +0000 2011,en
14877,20959509,1184,382,Mon Feb 16 03:26:30 +0000 2009,en
14894,292394146,1273,394,Tue May 03 15:43:23 +0000 2011,it
14936,493830863,1090,274,Thu Feb 16 07:25:27 +0000 2012,en
15031,241948855,1155,271,Sun Jan 23 15:14:22 +0000 2011,en
15040,58842416,1772,182,Tue Jul 21 16:31:39 +0000 2009,en
15066,3107499705,1358,312,Mon Mar 23 12:43:13 +0000 2015,en
15092,907144981,1711,393,Sat Oct 27 01:34:50 +0000 2012,en
15172,147935095,1212,383,Tue May 25 12:23:28 +0000 2010,en
15173,1193393012,1156,400,Mon Feb 18 14:46:53 +0000 2013,en
15250,485172405,1188,166,Mon Feb 06 22:30:07 +0000 2012,en
15255,484251592,1516,464,Sun Feb 05 22:13:44 +0000 2012,en
15265,16797022,1840,308,Wed Oct 15 23:44:29 +0000 2008,en
15285,1264040353,1974,371,Wed Mar 13 09:40:16 +0000 2013,en
15316,2883118643,1907,304,Tue Nov 18 20:49:37 +0000 2014,en
15392,99811678,1555,152,Sun Dec 27 23:57:36 +0000 2009,en
15408,184621488,1359,436,Mon Aug 30 01:41:01 +0000 2010,en
15425,457597418,1123,254,Sat Jan 07 16:03:06 +0000 2012,en
15427,34152206,1078,429,Wed Apr 22 02:41:37 +0000 2009,en
15518,210318051,1085,155,Sun Oct 31 04:06:50 +0000 2010,en
15539,571978114,1491,133,Sat May 05 18:29:50 +0000 2012,en
15557,142137035,1037,280,Mon May 10 02:26:41 +0000 2010,en
15590,1673381282,1178,183,Thu Aug 15 15:01:54 +0000 2013,en
15597,1414537802,1221,154,Thu May 09 04:10:18 +0000 2013,en
15612,451639706,1480,185,Sat Dec 31 20:05:15 +0000 2011,en
15673,23332153,1026,347,Sun Mar 08 17:50:12 +0000 2009,en
15676,591964833,1336,159,Sun May 27 14:49:36 +0000 2012,en
15690,69373831,1549,323,Thu Aug 27 19:03:28 +0000 2009,en
15692,44430741,1145,425,Wed Jun 03 19:13:34 +0000 2009,en
15725,2928201676,1192,484,Wed Dec 17 22:01:21 +0000 2014,en
